tid;co2;temp;rh
5.633;712;25.1;37.6
6.944;707;25.1;37.6
8.255;706;25.1;37.6
9.568;702;25.1;37.5
10.88;697;25.1;37.5
12.191;695;25.1;37.5
13.504;696;25.1;37.5
14.815;697;25.1;37.5
16.127;696;25.1;37.5
17.439;693;25.1;37.5
18.749;695;25.1;37.5
20.059;697;25.1;37.5
21.372;697;25.1;37.5
22.684;693;25.2;37.5
23.997;687;25.2;37.5
25.307;688;25.2;37.5
26.619;684;25.2;37.5
27.932;675;25.2;37.5
29.243;670;25.2;37.5
30.555;670;25.2;37.5
31.868;678;25.2;37.5
33.179;678;25.2;37.5
34.491;684;25.2;37.4
35.801;689;25.2;37.4
37.111;696;25.2;37.4
38.423;693;25.2;37.4
39.735;692;25.2;37.4
41.047;687;25.2;37.4
42.359;682;25.2;37.3
43.671;671;25.2;37.3
44.983;669;25.2;37.3
46.294;675;25.2;37.3
47.605;669;25.2;37.3
48.916;665;25.2;37.3
50.227;662;25.2;37.3
51.539;661;25.2;37.3
52.853;662;25.2;37.3
54.163;667;25.2;37.3
55.475;673;25.2;37.3
56.787;666;25.2;37.3
58.099;669;25.2;37.3
59.411;664;25.2;37.3
60.723;668;25.2;37.3
62.035;668;25.2;37.3
63.347;667;25.2;37.3
64.66001;661;25.2;37.3
65.971;661;25.2;37.3
67.283;661;25.2;37.3
68.593;661;25.2;37.3
69.907;661;25.2;37.3
71.221;661;25.2;37.3
72.531;660;25.2;37.3
73.844;655;25.2;37.3
75.158;655;25.2;37.3
76.46801;654;25.2;37.3
77.78;649;25.2;37.3
79.093;647;25.2;37.3
80.40401;643;25.2;37.3
81.716;639;25.2;37.3
83.03;642;25.2;37.3
84.342;647;25.2;37.3
85.655;651;25.2;37.3
86.968;648;25.2;37.3
88.28;652;25.2;37.3
89.59201;651;25.2;37.3
90.904;658;25.2;37.3
92.21601;661;25.2;37.3
93.528;660;25.2;37.3
94.84;657;25.2;37.3
96.152;654;25.2;37.3
97.464;651;25.2;37.3
98.77601;649;25.2;37.3
100.088;648;25.2;37.3
101.4;645;25.2;37.3
102.712;644;25.2;37.3
104.024;640;25.2;37.3
105.337;639;25.2;37.3
106.651;639;25.2;37.3
107.964;636;25.2;37.3
109.277;632;25.2;37.3
110.588;635;25.2;37.3
111.901;635;25.2;37.3
113.213;633;25.2;37.3
114.524;632;25.2;37.3
115.836;642;25.2;37.3
117.149;640;25.2;37.3
118.46;639;25.2;37.3
119.772;640;25.2;37.3
121.084;639;25.2;37.3
122.396;636;25.2;37.3
123.708;636;25.2;37.3
125.02;632;25.2;37.3
126.332;634;25.2;37.3
127.644;632;25.2;37.3
128.956;634;25.2;37.3
130.269;629;25.2;37.3
131.581;633;25.2;37.3
132.892;626;25.2;37.3
134.206;627;25.2;37.3
135.518;627;25.2;37.3
136.829;631;25.2;37.3
138.14;638;25.2;37.3
139.452;642;25.2;37.3
140.764;643;25.2;37.3
142.077;640;25.2;37.3
143.388;636;25.2;37.3
144.701;638;25.2;37.3
146.013;643;25.2;37.3
147.324;647;25.2;37.3
148.637;652;25.2;37.3
