tid;co2;temp;rh
0.0;1000.0;25.8;40.0
0.417;1033.0;25.7;41.3
0.834;1028.0;25.5;42.2
1.251;1055.0;25.4;42.9
1.668;1056.0;25.3;43.6
2.085;1045.0;25.2;44.3
2.502;1046.0;25.2;45.0
2.919;1067.0;25.2;45.6
3.336;1062.0;25.1;46.2
3.753;1077.0;25.0;46.7
4.17;1096.0;24.9;47.1
4.587;1101.0;24.7;47.4
5.004;1114.0;24.7;47.8
5.421;1118.0;24.7;48.2
5.838;1124.0;24.7;48.5
6.255;1134.0;24.7;48.8
6.672;1133.0;24.8;49.1
7.089;1145.0;24.8;49.3
7.506;1144.0;24.5;49.6
7.923;1152.0;24.3;49.9
8.34;1152.0;24.3;50.1
8.757;1160.0;24.4;50.3
9.174;1166.0;24.5;50.5
9.591;1172.0;24.5;50.8
10.008;1173.0;24.3;50.8
10.425;1193.0;24.1;51.0
10.842;1181.0;24.1;51.2
11.259;1201.0;24.2;51.4
11.676;1215.0;24.1;51.6
12.093;1215.0;24.0;51.7
12.51;1217.0;24.1;51.9
12.927;1220.0;24.2;52.0
13.344;1207.0;24.2;52.1
13.761;1210.0;24.1;52.2
14.178;1223.0;24.2;52.4
14.595;1211.0;24.0;52.5
15.012;1224.0;24.0;52.6
15.429;1237.0;23.9;52.7
15.846;1250.0;24.1;52.9
16.263;1263.0;24.0;53.0
16.68;1258.0;24.0;53.1
17.097;1264.0;23.9;53.2
17.514;1265.0;24.0;53.3
17.931;1285.0;24.0;53.4
18.348;1285.0;23.9;53.5
18.765;1305.0;23.9;53.6
19.182;1306.0;24.0;53.7
19.599;1300.0;24.0;53.8
20.016;1295.0;23.9;53.9
20.433;1301.0;23.9;53.9
20.85;1308.0;23.9;54.0
21.267;1320.0;23.9;54.1
21.684;1341.0;23.8;54.2
22.101;1341.0;23.9;54.2
22.518;1348.0;23.8;54.3
22.935;1362.0;23.9;54.4
23.352;1362.0;23.8;54.5
23.769;1363.0;23.8;54.5
24.186;1372.0;23.7;54.6
24.603;1366.0;23.7;54.7
25.02;1382.0;23.8;54.8
25.437;1390.0;23.7;54.8
25.854;1383.0;23.7;54.9
26.271;1384.0;23.7;55.0
26.688;1396.0;23.7;55.0
27.105;1389.0;23.6;55.1
27.522;1394.0;23.7;55.1
27.939;1419.0;23.8;55.2
28.356;1412.0;23.7;55.2
28.773;1444.0;23.7;55.3
29.19;1454.0;23.8;55.4
29.607;1440.0;23.6;55.4
30.024;1450.0;23.7;55.4
30.441;1465.0;23.7;55.4
30.858;1472.0;23.6;55.5
31.275;1495.0;23.6;55.5
31.692;1504.0;23.6;55.5
32.109;1504.0;23.6;55.6
32.526;1499.0;23.6;55.6
32.943;1498.0;23.7;55.7
33.36;1491.0;23.7;55.8
33.777;1483.0;23.6;55.8
34.194;1490.0;23.6;55.8
34.611;1497.0;23.6;55.9
35.028;1497.0;23.6;56.0
35.445;1515.0;23.5;56.0
35.862;1523.0;23.6;56.0
36.279;1533.0;23.6;56.0
36.696;1556.0;23.6;56.1
37.113;1556.0;23.7;56.2
37.53;1578.0;23.6;56.2
37.947;1584.0;23.7;56.2
38.364;1569.0;23.5;56.3
38.781;1575.0;23.6;56.3
39.198;1578.0;23.5;56.3
39.615;1578.0;23.7;56.4
40.032;1597.0;23.6;56.5
40.449;1612.0;23.6;56.5
40.866;1603.0;23.7;56.5
41.283;1626.0;23.6;56.5
41.7;1617.0;23.5;56.6
42.117;1633.0;23.5;56.6
42.534;1624.0;23.5;56.7
42.951;1638.0;23.4;56.7
43.368;1621.0;23.5;56.7
