tid;co2;temp;rh
0.0;1000.0;27.3;40.0
0.417;1029.0;27.2;41.0
0.834;1040.0;27.1;41.7
1.251;1068.0;27.0;42.4
1.668;1105.0;26.9;43.5
2.085;1118.0;26.9;44.9
2.502;1175.0;26.9;46.1
2.919;1200.0;26.9;47.4
3.336;1226.0;27.0;48.5
3.753;1266.0;27.1;49.5
4.17;1286.0;27.2;50.3
4.587;1316.0;27.3;51.1
5.004;1321.0;27.3;51.8
5.421;1350.0;27.4;52.4
5.838;1372.0;27.6;52.9
6.255;1390.0;27.7;53.3
6.672;1398.0;27.8;53.9
7.089;1431.0;27.9;54.1
7.506;1409.0;28.0;54.5
7.923;1455.0;28.2;54.8
8.34;1448.0;28.3;55.0
8.757;1460.0;28.5;55.3
9.174;1515.0;28.5;55.6
9.591;1501.0;28.6;55.7
10.008;1526.0;28.8;56.0
10.425;1530.0;28.9;56.2
10.842;1524.0;29.0;56.4
11.259;1568.0;29.1;56.6
11.676;1575.0;29.1;56.7
12.093;1564.0;29.3;56.9
12.51;1573.0;29.4;57.0
12.927;1560.0;29.5;57.2
13.344;1560.0;29.6;57.3
13.761;1560.0;29.7;57.4
14.178;1565.0;29.7;57.5
14.595;1553.0;29.8;57.7
15.012;1589.0;29.9;57.7
15.429;1585.0;30.0;57.8
15.846;1579.0;30.1;57.9
16.263;1552.0;30.2;58.0
16.68;1602.0;30.2;58.2
17.097;1581.0;30.3;58.2
17.514;1610.0;30.3;58.3
17.931;1610.0;30.4;58.4
18.348;1622.0;30.5;58.5
18.765;1617.0;30.6;58.6
19.182;1601.0;30.7;58.6
19.599;1633.0;30.7;58.7
20.016;1619.0;30.8;58.7
20.433;1624.0;30.9;58.9
20.85;1638.0;30.9;59.0
21.267;1609.0;30.9;59.0
21.684;1637.0;31.0;59.1
22.101;1654.0;31.0;59.1
22.518;1665.0;31.1;59.1
22.935;1671.0;31.2;59.2
23.352;1640.0;31.2;59.3
23.769;1644.0;31.3;59.4
24.186;1669.0;31.3;59.4
24.603;1640.0;31.4;59.4
25.02;1644.0;31.4;59.5
25.437;1701.0;31.5;59.5
25.854;1676.0;31.5;59.7
26.271;1671.0;31.5;59.7
26.688;1649.0;31.5;59.7
27.105;1662.0;31.6;59.8
27.522;1667.0;31.7;59.8
27.939;1639.0;31.7;59.8
28.356;1626.0;31.7;59.9
28.773;1651.0;31.8;60.0
29.19;1668.0;31.8;60.0
29.607;1671.0;31.9;60.1
30.024;1651.0;31.9;60.2
30.441;1636.0;32.0;60.2
30.858;1661.0;32.0;60.3
31.275;1636.0;32.1;60.3
31.692;1631.0;32.1;60.3
32.109;1656.0;32.1;60.4
32.526;1648.0;32.1;60.4
32.943;1675.0;32.1;60.5
33.36;1692.0;32.2;60.6
33.777;1670.0;32.2;60.6
34.194;1654.0;32.2;60.6
34.611;1652.0;32.3;60.7
35.028;1652.0;32.3;60.8
35.445;1694.0;32.3;60.8
35.862;1663.0;32.4;60.8
36.279;1681.0;32.4;60.8
36.696;1686.0;32.4;60.9
37.113;1663.0;32.5;61.0
37.53;1652.0;32.5;61.0
37.947;1667.0;32.6;61.0
38.364;1652.0;32.6;61.1
38.781;1663.0;32.6;61.1
39.198;1678.0;32.6;61.1
39.615;1667.0;32.6;61.2
40.032;1674.0;32.6;61.3
40.449;1670.0;32.7;61.3
40.866;1661.0;32.7;61.3
41.283;1677.0;32.7;61.3
41.7;1689.0;32.7;61.4
42.117;1697.0;32.8;61.4
42.534;1675.0;32.8;61.5
42.951;1701.0;32.9;61.5
43.368;1659.0;32.9;61.5
43.785;1639.0;32.9;60.5
44.202;1426.0;32.8;55.7
44.619;1196.0;32.7;52.3
