tid;co2;temp;rh
0.0;1000.0;25.6;40.0
0.417;1103.0;25.7;40.7
0.834;1181.0;25.7;41.5
1.251;1286.0;25.7;42.5
1.668;1317.0;25.8;43.5
2.085;1411.0;25.8;44.7
2.502;1452.0;25.9;45.9
2.919;1528.0;26.0;47.1
3.336;1576.0;26.1;48.1
3.753;1669.0;26.1;49.0
4.17;1725.0;26.3;49.8
4.587;1779.0;26.4;50.6
5.004;1845.0;26.6;51.3
5.421;1926.0;26.7;51.9
5.838;1994.0;26.8;52.5
6.255;2014.0;26.9;53.0
6.672;2100.0;27.1;53.5
7.089;2108.0;27.3;53.9
7.506;2151.0;27.3;54.3
7.923;2208.0;27.5;54.5
8.34;2229.0;27.6;54.8
8.757;2264.0;27.8;55.1
9.174;2295.0;27.9;55.4
9.591;2284.0;28.0;55.6
10.008;2342.0;28.1;55.9
10.425;2392.0;28.3;56.1
10.842;2434.0;28.4;56.3
11.259;2491.0;28.5;56.5
11.676;2475.0;28.6;56.7
12.093;2512.0;28.7;56.9
12.51;2524.0;28.8;57.1
12.927;2525.0;29.0;57.2
13.344;2528.0;29.1;57.4
13.761;2555.0;29.1;57.6
14.178;2571.0;29.2;57.7
14.595;2554.0;29.3;57.8
15.012;2560.0;29.4;57.9
15.429;2561.0;29.5;58.1
15.846;2613.0;29.6;58.2
16.263;2640.0;29.7;58.4
16.68;2653.0;29.7;58.5
17.097;2650.0;29.8;58.6
17.514;2638.0;29.9;58.7
17.931;2677.0;30.0;58.8
18.348;2684.0;30.1;59.0
18.765;2654.0;30.2;59.1
19.182;2694.0;30.2;59.2
19.599;2762.0;30.3;59.3
20.016;2692.0;30.3;59.4
20.433;2785.0;30.3;59.5
20.85;2680.0;30.4;59.6
21.267;2717.0;30.5;59.7
21.684;2795.0;30.5;59.8
22.101;2809.0;30.6;59.9
22.518;2786.0;30.7;60.0
22.935;2802.0;30.7;60.1
23.352;2817.0;30.8;60.2
23.769;2790.0;30.9;60.3
24.186;2801.0;30.9;60.4
24.603;2865.0;30.9;60.5
25.02;2829.0;31.0;60.6
25.437;2820.0;31.0;60.6
25.854;2843.0;31.1;60.7
26.271;2862.0;31.2;60.8
26.688;2864.0;31.2;61.0
27.105;2887.0;31.3;61.0
27.522;2864.0;31.3;61.1
27.939;2875.0;31.4;61.2
28.356;2837.0;31.4;61.3
28.773;2872.0;31.5;61.4
29.19;2926.0;31.5;61.4
29.607;2877.0;31.5;61.5
30.024;2914.0;31.5;61.6
30.441;2953.0;31.6;61.7
30.858;2887.0;31.6;61.8
31.275;2925.0;31.7;61.9
31.692;2951.0;31.7;61.9
32.109;2932.0;31.7;62.0
32.526;2973.0;31.8;62.0
32.943;2959.0;31.8;62.2
33.36;3019.0;31.9;62.2
33.777;3023.0;31.9;62.4
34.194;2915.0;32.0;62.4
34.611;2972.0;32.0;62.5
35.028;3011.0;32.0;62.6
35.445;3023.0;32.1;62.6
35.862;3038.0;32.1;62.7
36.279;3045.0;32.1;62.8
36.696;3011.0;32.1;62.8
37.113;3041.0;32.1;62.9
37.53;3050.0;32.2;63.0
37.947;3003.0;32.2;63.1
38.364;2985.0;32.3;63.1
38.781;3033.0;32.3;63.2
39.198;3010.0;32.3;63.3
39.615;3030.0;32.4;63.3
40.032;3049.0;32.4;63.4
40.449;3036.0;32.4;63.4
40.866;3095.0;32.5;63.4
41.283;3039.0;32.5;63.5
41.7;3137.0;32.6;63.5
42.117;3041.0;32.6;63.7
42.534;3059.0;32.6;63.8
42.951;3075.0;32.6;63.8
43.368;3105.0;32.6;63.9
43.785;3148.0;32.6;63.9
44.202;3136.0;32.7;63.9
44.619;3122.0;32.7;64.0
45.036;3183.0;32.7;64.0
45.453;3160.0;32.8;64.1
